Server time in hour,Difference with previous Zigzag length in pips,Zigzag completion time in mins,ZigZag length in pips,Zigza length round to nearest 10 pips,Next Zigzag length in pips,Previous Zigzag length in pips,If greater than 10 pips
4,5,84.99999999,8.5,10,4.2,14,0
6,4,75,4.2,0,3.4,8.5,0
7,1,15,3.4,0,11.8,4.2,0
7,8,75,11.8,10,25.7,3.4,1
9,14,60,25.7,30,15.2,11.8,1
10,10,35,15.2,20,19.6,25.7,1
10,4,25.00000001,19.6,20,16.9,15.2,1
11,3,60,16.9,20,14.4,19.6,1
12,2,60,14.4,10,9.4,16.9,1
13,5,35,9.4,10,19,14.4,0
13,10,115,19,20,10.3,9.4,1
15,9,80,10.3,10,10.3,19,1
16,0,25,10.3,10,21,10.3,1
17,10,100,21,20,46.8,10.3,1
18,26,255,46.8,50,7.3,21,1
23,39,45,7.3,10,11.7,46.8,0
23,4,270,11.7,10,6.8,7.3,1
4,5,125,6.8,10,27.1,11.7,0
6,21,260,27.1,30,12.3,6.8,1
10,15,45,12.3,10,10.1,27.1,1
11,2,29.99999999,10.1,10,19.1,12.3,1
12,9,90,19.1,20,9.5,10.1,1
13,10,30,9.5,10,6.9,19.1,0
14,3,50.00000001,6.9,10,13.6,9.5,0
14,7,25,13.6,10,26.8,6.9,1
15,13,60,26.8,30,29.9,13.6,1
16,3,150,29.9,30,10.2,26.8,1
18,19,35.00000001,10.2,10,17.6,29.9,1
19,7,29.99999999,17.6,20,77.7,10.2,1
19,60,255,77.7,80,14.5,17.6,1
0,63,45,14.5,10,7.9,77.7,1
0,7,39.99999999,7.9,10,17.4,14.5,0
1,10,125,17.4,20,26.7,7.9,1
3,9,140,26.7,30,21.1,17.4,1
6,5,215,21.1,20,35,26.7,1
9,14,135,35,40,25.5,21.1,1
11,10,160,25.5,30,18.6,35,1
14,7,50.00000001,18.6,20,22.9,25.5,1
15,4,35,22.9,20,14.7,18.6,1
15,8,55,14.7,10,22.3,22.9,1
16,8,55,22.3,20,17.1,14.7,1
17,5,39.99999999,17.1,20,14.1,22.3,1
18,3,70,14.1,10,32.6,17.1,1
19,18,115,32.6,30,62.8,14.1,1
21,30,135,62.8,60,6.9,32.6,1
23,56,10,6.9,10,18.2,62.8,0
23,12,4425,18.2,20,4.4,6.9,1
1,14,70,4.4,0,22.1,18.2,0
2,18,210,22.1,20,3.7,4.4,1
6,19,39.99999999,3.7,0,5.8,22.1,0
7,2,70.00000001,5.8,10,8.1,3.7,0
8,3,54.99999999,8.1,10,20.4,5.8,0
9,12,75,20.4,20,27,8.1,1
10,7,170,27,30,12,20.4,1
13,15,45,12,10,18.6,27,1
13,6,75,18.6,20,16.2,12,1
15,2,90,16.2,20,12.7,18.6,1
16,4,110,12.7,10,10.6,16.2,1
18,2,25,10.6,10,23.1,12.7,1
18,13,60,23.1,20,12.7,10.6,1
19,11,25,12.7,10,22.2,23.1,1
20,10,35.00000001,22.2,20,13.4,12.7,1
20,9,45,13.4,10,7.3,22.2,1
21,6,25,7.3,10,14,13.4,0
22,7,50,14,10,7,7.3,1
22,8,60.00000001,7,10,64.7,14,0
23,58,1530,64.7,60,14.8,7,1
1,50,25,14.8,10,29.2,64.7,1
1,15,205,29.2,30,16.7,14.8,1
5,13,170,16.7,20,9.6,29.2,1
8,7,80,9.6,10,22.9,16.7,0
9,13,25,22.9,20,26.7,9.6,1
9,4,40,26.7,30,17.5,22.9,1
10,9,40,17.5,20,33.6,26.7,1
11,16,74.99999999,33.6,30,24.8,17.5,1
12,9,85,24.8,20,15.6,33.6,1
13,9,80,15.6,20,39.7,24.8,1
15,24,160,39.7,40,26.6,15.6,1
17,13,70,26.6,30,18.6,39.7,1
